Wyszczególnienie,Rok,Kwartał,Podatek od gier (tys. zł)
Gry liczbowe,2018,I kw.,187448.932
Gry liczbowe,2018,II kw.,174765.546
Gry liczbowe,2018,III kw.,171108.488
Gry liczbowe,2018,IV kw.,180618.131
Gry liczbowe,2019,I kw.,177925.13199999998
Gry liczbowe,2019,II kw.,190182.56
Gry liczbowe,2019,III kw.,193007.415
Gry liczbowe,2019,IV kw.,199237.164
Gry liczbowe,2020,I kw.,211264.268
Gry liczbowe,2020,II kw.,176039.82799999998
Gry liczbowe,2020,III kw.,186509.57200000001
Gry liczbowe,2020,IV kw.,191800.489
Gry liczbowe,2021,I kw.,208848.473
Gry liczbowe,2021,II kw.,202476.96800000002
Gry liczbowe,2021,III kw.,201749.45
Gry liczbowe,2021,IV kw.,208959.93600000002
Gry liczbowe,2022,I kw.,201867.36
Loterie pieniężne,2018,I kw.,51867.635
Loterie pieniężne,2018,II kw.,49199.358
Loterie pieniężne,2018,III kw.,48653.686
Loterie pieniężne,2018,IV kw.,52281.775
Loterie pieniężne,2019,I kw.,55691.305
Loterie pieniężne,2019,II kw.,53961.663
Loterie pieniężne,2019,III kw.,56765.913
Loterie pieniężne,2019,IV kw.,59455.594
Loterie pieniężne,2020,I kw.,57627.765
Loterie pieniężne,2020,II kw.,46080.434
Loterie pieniężne,2020,III kw.,54234.776000000005
Loterie pieniężne,2020,IV kw.,61477.03
Loterie pieniężne,2021,I kw.,69359.212
Loterie pieniężne,2021,II kw.,69451.145
Loterie pieniężne,2021,III kw.,67904.685
Loterie pieniężne,2021,IV kw.,75923.288
Loterie pieniężne,2022,I kw.,79469.576
Salony gier na automatach,2018,I kw.,0
Salony gier na automatach,2018,II kw.,0.287
Salony gier na automatach,2018,III kw.,464.622
Salony gier na automatach,2018,IV kw.,1339.93
Salony gier na automatach,2019,I kw.,2280.969
Salony gier na automatach,2019,II kw.,3433.422
Salony gier na automatach,2019,III kw.,4765.165
Salony gier na automatach,2019,IV kw.,6221.66
Salony gier na automatach,2020,I kw.,7498.932
Salony gier na automatach,2020,II kw.,3723.856
Salony gier na automatach,2020,III kw.,10091.465
Salony gier na automatach,2020,IV kw.,13009.381
Salony gier na automatach,2021,I kw.,4755.352
Salony gier na automatach,2021,II kw.,4457.821
Salony gier na automatach,2021,III kw.,15879.883
Salony gier na automatach,2021,IV kw.,20621.248
Salony gier na automatach,2022,I kw.,25961.602
Gry kasynowe (przez sieć Internet),2018,I kw.,0
Gry kasynowe (przez sieć Internet),2018,II kw.,0
Gry kasynowe (przez sieć Internet),2018,III kw.,0
Gry kasynowe (przez sieć Internet),2018,IV kw.,2198.348
Gry kasynowe (przez sieć Internet),2019,I kw.,16232.125
Gry kasynowe (przez sieć Internet),2019,II kw.,18410.361
Gry kasynowe (przez sieć Internet),2019,III kw.,21061.458000000002
Gry kasynowe (przez sieć Internet),2019,IV kw.,23989.185
Gry kasynowe (przez sieć Internet),2020,I kw.,30651.107
Gry kasynowe (przez sieć Internet),2020,II kw.,39286.486
Gry kasynowe (przez sieć Internet),2020,III kw.,37919.329999999994
Gry kasynowe (przez sieć Internet),2020,IV kw.,55604.77099999999
Gry kasynowe (przez sieć Internet),2021,I kw.,66906.349
Gry kasynowe (przez sieć Internet),2021,II kw.,81116.91200000001
Gry kasynowe (przez sieć Internet),2021,III kw.,93121.623
